objectType,pkOntome,identifierInNamespace,originalURI
class,245,F29,F29_Recording_Event
property,1025,R52,R52_used_rule
class,233,F17,F17_Aggregation_Work
property,995,R21,R21_created
property,999,R25,R25_performed
property,1014,R40,R40_has_representative_expression
property,985,R10,R10_has_member
property,1028,R55,R55_has_nomen_form
property,1029,R56,R56_has_related_use
property,1016,R42,R42_is_representative_manifestation_singleton_for
property,1032,R59,R59_had_typical_subject
class,217,F1,F1_Work
property,986,R11,R11_has_issuing_rule
class,254,F39,F39_Family
class,261,F51,F51_Pursuit
property,1033,R60,R60_used_to_use_language
property,976,R1,R1_is_logical_successor_of
class,235,F19,F19_Publication_Work
property,993,R19,R19_created_a_realization_of
property,973,CLP104,CLP104_subject_to
class,237,F21,F21_Recording_Work
property,1004,R30,R30_produced
property,982,R7,R7_is_example_of
class,244,F28,F28_Expression_Creation
class,234,F18,F18_Serial_Work
property,975,CLR6,CLR6_should_carry
property,1022,R49,R49_assigned
property,998,R24,R24_created
property,981,R6,R6_carries
property,1023,R50,R50_assigned_to
property,996,R22,R22_created_a_realization_of
property,1018,R44,R44_carried_out_by
property,1008,R34,R34_has_validity_period
property,1031,R58,R58_has_fictional_member
property,1007,R33,R33_has_content
property,984,R9,R9_is_realised_in
property,977,R2,R2_is_derivative_of
property,1024,R51,R51_assigned
class,249,F33,F33_Reproduction_Event
property,968,CLP2,CLP2_should_have_type
property,1015,R41,R41_has_rep_manifestation_product_type
property,1035,R62,R62_was_used_for_membership_in
class,263,F53,F53_Material_Copy
class,258,F43,F43_Identifier_Rule
class,230,F14,F14_Individual_Work
property,1017,R43,R43_carried_out_by
property,991,R17,R17_created
class,226,F10,F10_Person
property,1021,R48,R48_assigned_to
class,262,F52,F52_Name_Use_Activity
class,264,F54,F54_Utilized_Information_Carrier
class,225,F9,F9_Place
property,971,CLP46,CLP46_should_be_composed_of
property,1012,R38,R38_refers_to_thema
class,256,F41,F41_Representative_Manifestation_Assignment
class,218,F2,F2_Expression
property,980,R5,R5_has_component
class,229,F13,F13_Identifier
property,970,CLP45,CLP45_should_consist_of
property,979,R4,R4_carriers_provided_by
